MapID,Area Name,Persons 3 years and over enrolled in nursery school,Persons 3 years and over enrolled in kindergarten,Persons 3 years and over enrolled in grade 1-grade 4,Persons 3 years and over enrolled in grade 5-grade 8,Persons 3 years and over enrolled in grade 9-grade 12,Persons 3 years and over enrolled in college,Persons 3 years and over graduate or professional school,Persons 3 years and over not enrolled in school,"Families with income < $10,000","Families with income between $10,000-$14,999","Families with income between $15,000-$19,999","Families with income between $20,000-$24,999","Families with income between $25,000-$29,999","Families with income between $30,000-$34,999","Families with income between $35,000-$39,999","Families with income between $40,000-$44,999","Families with income between $45,000-$49,999","Families with income between $50,000-$59,999","Families with income between $60,000-$74,999","Families with income between $75,000-$99,999","Families with income between $100,000-$124,999","Families with income between $125,000-$149,999","Families with income between $150,000-$199,999",Number of persons 25+ yrs in 7th grade,Number of persons 25+ yrs in 8th grade,Number of persons 25+ yrs in 9th grade,Number of persons 25+ yrs in 10th grade,Number of persons 25+ yrs in 11th grade,"Number of persons 25+ yrs in 12th grade, no diploma",Number of persons 25+ yrs with regular high school diploma,Number of persons 25+ yrs with GED or alternative credential,"Number of persons 25+ yrs with some college, less than 1 year","Number of persons 25+ yrs with some college, 1 or more years, no degre",Number of persons 25+ yrs with associate's degree,Number of persons 25+ yrs with bachelor's degree,Number of persons 25+ yrs with master's degree,Number of persons 25+ yrs with professional school degree,Number of persons 25+ yrs with doctorate degree,"Workers 16+ years in management, business, science,arts occupations",Workers 16 years and over in service occupations,Workers 16 years and over in sales and office occupations,"Workers 16+ years in natural resources, construction, maint occupation","Workers 16 years and over in production, transport, material moving",Workers 16 years and over in armed forces
423,Glendale,339,481,1431,1766,1770,1876,369,26285,241,168,175,222,191,287,329,366,182,628,1108,1557,1273,684,717,145,462,326,422,455,646,8021,1130,2545,2178,1584,3987,1778,314,34,5216,4436,4070,1807,1957,25
309,Gramercy,200,82,228,348,178,3654,677,21672,30,0,52,46,80,0,49,36,35,60,195,233,309,337,550,36,9,5,8,0,130,1217,204,307,1275,695,8546,4987,2834,423,12935,1212,3271,326,252,0
504,Grasmere-Arrochar-Ft. Wadsworth,223,180,1024,690,1064,765,264,11400,148,156,107,134,203,120,195,75,206,207,369,673,593,207,453,39,192,148,163,159,222,2524,439,449,1137,758,2570,1314,199,146,3049,1362,1323,612,609,48
229,Gravesend,684,501,1276,1113,1718,1705,472,22249,458,352,589,455,418,390,290,401,249,414,795,879,499,586,475,102,498,649,578,571,665,5106,663,733,1925,1687,3989,2259,364,147,4357,2484,3062,1052,1499,0
505,Great Kills,592,446,1878,1976,2327,2414,577,31279,179,200,300,318,253,283,391,162,214,619,954,1677,2162,1085,1893,67,203,85,344,250,701,8986,1265,1852,3719,2594,6003,3331,653,194,8238,3418,5242,1303,1792,7
230,Greenpoint,286,186,779,686,660,1448,920,28419,294,161,254,259,165,197,180,87,238,406,431,966,708,523,571,218,229,312,174,392,419,4354,682,1096,2512,1203,10033,4804,826,284,12899,2803,3374,1353,847,0
506,Grymes Hill-Clifton-Fox Hills,360,237,1252,801,1137,2315,384,14201,517,156,198,168,66,319,138,120,168,340,369,452,440,437,471,105,57,377,62,326,392,3328,563,693,1409,1131,2630,1299,510,213,3571,2169,2027,570,587,0
310,Hamilton Heights,487,599,2118,2040,2205,2783,1833,40733,800,531,465,513,842,642,375,366,313,716,984,623,644,533,668,510,758,972,1561,1885,873,7169,1336,866,3997,1782,7813,4192,863,665,10208,8689,6453,1698,2030,0
424,Hammels-Arverne-Edgemere,1250,570,2925,2692,2128,2274,411,26544,1065,567,359,669,512,428,545,439,405,663,674,1060,713,425,521,137,492,685,678,1036,1489,5711,1361,944,4050,1791,3599,1399,231,51,4403,4368,2862,1486,1519,24
112,Highbridge,598,529,3120,2834,2817,3060,290,25648,1049,924,1126,705,556,509,394,590,583,801,476,620,419,127,88,224,1072,956,1038,1363,805,4960,1458,1078,3372,1702,2687,484,140,100,2721,5787,3865,771,2348,0
425,Hollis,432,230,919,1050,1047,1536,301,15381,120,130,233,157,103,147,169,216,137,273,513,721,538,389,513,133,170,251,232,123,391,3784,1115,409,2488,1444,2275,884,125,98,2918,3196,2438,1081,1211,0
231,Homecrest,906,931,2514,2385,2359,1993,709,30072,440,476,382,624,426,703,492,414,431,700,880,1290,1311,490,786,118,307,431,317,426,798,7159,745,991,2588,1942,6552,3441,644,282,7157,3194,4966,873,1871,0
311,Hudson Yards-Chelsea-Flat Iron-Union Square,1008,502,1619,1341,1263,4073,1949,63505,666,288,245,284,280,319,129,210,184,417,517,1206,662,830,1644,87,61,468,422,377,678,4294,802,1157,3963,1798,25816,14476,4988,2307,34782,4179,10418,340,792,0
426,Hunters Point-Sunnyside-West Maspeth,627,647,2127,1776,1921,3013,1396,53519,315,357,472,462,382,756,617,567,484,964,1420,1775,1076,1013,1446,156,854,594,1001,575,1596,9958,1205,1247,3590,3963,15620,7044,1974,678,19270,8127,7384,2362,3642,0
113,Hunts Point,504,333,1800,1858,1951,1663,204,17617,1129,446,556,497,413,458,341,392,142,335,315,372,161,70,39,329,676,519,723,850,515,3304,914,529,1972,1188,1286,299,33,23,1376,3430,1885,752,1183,0
427,Jackson Heights,1364,999,4066,4378,4775,6071,1420,77115,830,649,1037,1053,1412,1552,1094,1173,869,1914,2717,2922,1794,1326,1506,794,1223,1260,1371,1435,2889,21607,2307,2059,6397,5921,12758,5651,938,609,13873,15050,10942,3919,6375,0
428,Jamaica,904,804,3005,2799,2440,3424,845,39661,511,554,642,773,781,544,622,916,609,1242,1112,1345,761,465,604,469,991,1108,1007,828,1425,7314,3495,1009,4017,2575,6224,1899,320,195,5315,7863,5582,2688,3816,0
429,Jamaica Estates-Holliswood,395,430,1084,1154,1234,2025,661,19056,84,50,82,288,246,234,276,142,257,439,468,779,534,382,698,83,374,248,197,187,609,3359,856,781,1829,1561,4948,2254,811,420,5351,2329,3340,562,966,0
232,Kensington-Ocean Parkway,766,790,2031,2098,2092,1971,618,25198,286,328,475,670,478,425,397,330,300,567,641,954,803,466,587,145,258,386,501,364,669,4547,574,866,2220,1609,5933,3308,539,496,6653,3206,3097,1188,1712,0
430,Kew Gardens,357,386,1042,1030,1103,1194,546,17619,189,199,150,171,192,361,136,191,89,365,709,660,575,409,498,28,133,73,158,153,426,3057,348,661,1997,1732,4531,2564,743,385,5717,1661,2705,585,1195,0
431,Kew Gardens Hills,933,451,1910,1610,1680,2967,1070,25664,254,276,235,437,442,345,210,353,457,650,896,1252,971,906,899,19,513,455,255,217,418,5550,550,635,2652,2215,6214,3274,761,541,7622,2959,3865,659,1297,17
114,Kingsbridge Heights,499,545,1759,1553,1896,1662,297,23202,587,611,541,456,559,440,481,465,275,761,627,830,254,178,137,240,854,500,614,941,985,5163,844,498,2975,1529,2576,595,206,70,2386,5502,3238,1019,2365,0
432,Laurelton,439,291,1231,1342,1543,1698,331,19762,96,60,158,143,201,181,104,212,110,454,595,1030,861,751,757,63,115,145,124,343,467,4720,855,935,3738,2090,3290,1757,185,124,4212,3676,2996,891,1325,8
312,Lenox Hill-Roosevelt Island,2137,542,2598,1634,1878,1577,2264,65662,282,49,206,195,102,197,175,134,205,398,879,1636,1290,1317,1887,6,110,261,273,97,349,4216,278,1245,4232,2054,25040,15650,7318,3632,35544,2620,9538,578,780,54
313,Lincoln Square,1123,646,1755,1716,922,2549,1884,48495,302,144,350,204,66,24,121,30,31,258,317,1086,716,780,1522,38,65,273,283,74,208,2597,463,848,2554,1172,15481,15128,6650,3067,25486,1602,7200,43,646,0
433,Lindenwood-Howard Beach,410,320,1094,1252,1158,1342,458,22194,397,179,367,90,146,345,350,263,250,515,602,1143,922,721,794,0,346,397,365,388,682,6070,747,1007,2835,2104,3683,1788,308,19,4592,1837,3615,1066,1637,46
115,Longwood,407,593,1794,2220,1739,1501,248,19109,939,570,497,473,358,428,364,340,224,538,525,544,147,88,75,307,444,943,840,1131,691,3963,761,715,2305,1067,1615,456,15,10,1885,3654,2786,645,1124,7
314,Lower East Side,916,434,2306,2503,3042,3400,1134,56030,1599,1718,924,1347,811,888,743,661,694,957,1032,892,840,551,595,605,1479,2185,1810,1265,1405,10443,1748,1436,4717,2556,12069,4063,1212,676,12567,6923,6529,939,1700,0
233,Madison,613,593,1866,1703,1861,2495,817,29986,310,358,411,475,341,421,340,374,368,722,1076,1291,1168,698,980,255,512,316,293,323,677,6156,1314,908,2775,1894,7203,3442,841,415,7647,3767,4219,1250,1468,0
315,Manhattanville,411,223,971,1039,1355,1743,1116,16322,660,247,125,334,499,326,337,416,101,365,170,339,266,178,141,254,339,558,520,568,360,2738,790,488,1823,863,2724,1550,173,235,3829,3471,2489,403,744,0
316,Marble Hill-Inwood,643,510,2660,2523,2458,2909,1114,38829,717,597,720,839,769,591,603,437,442,708,1202,1390,707,513,492,608,1487,472,1101,1235,1271,6534,1589,1384,4620,2045,6741,3190,596,524,8410,7915,4991,1274,2540,0
507,Mariner's Harbor-Arlington-Port Ivory-Grani,444,444,1998,1897,2132,2024,324,20901,1277,338,142,333,132,219,162,151,175,487,843,1306,620,774,632,126,210,301,415,667,795,4289,1375,1146,2720,1592,3248,1429,200,151,4323,3304,2428,1171,1298,0
434,Maspeth,550,354,1319,1361,1626,1661,433,22648,220,184,106,340,231,188,265,249,151,527,844,1097,971,554,805,98,425,245,293,331,483,6786,781,810,2577,1962,4164,1427,240,115,4721,3242,3538,2216,1571,0
116,Melrose South-Mott Haven North,805,700,3640,2645,2850,2733,331,27040,1534,1061,663,629,816,690,602,444,355,717,628,762,340,112,144,381,905,1212,1166,1343,893,5600,1226,1070,2892,1876,2131,621,193,155,2805,5506,3818,1040,1979,0
435,Middle Village,533,472,1837,1567,1621,1994,555,30095,229,139,107,340,229,406,291,326,250,581,867,1388,1446,954,1377,190,471,156,271,472,834,8123,915,1518,3193,2346,6224,3029,499,241,7699,3496,4702,1463,1612,19
317,Midtown-Midtown South,201,64,602,147,302,2678,1158,22059,108,61,50,7,30,44,44,41,41,96,104,273,395,452,481,81,103,125,121,75,70,1313,322,386,1078,505,8571,5998,2027,878,12264,1156,3212,310,250,0
234,Midwood,1154,1018,3215,3074,3073,3171,1185,35494,497,639,514,722,718,577,374,463,403,777,1246,1320,1092,721,845,140,452,488,765,339,856,6597,781,1070,3093,2522,8164,5183,1174,436,9480,3985,4532,1179,1933,45
318,Morningside Heights,440,320,1392,1674,1146,10358,6921,29695,417,383,268,215,310,399,443,134,217,383,630,583,532,489,713,94,294,258,411,354,357,3735,607,669,2222,1429,8989,7600,2240,3085,14103,2476,3656,413,815,0
117,Morrisania-Melrose,1035,717,2150,2251,3181,2379,354,26864,1035,885,891,901,623,704,571,538,265,747,664,922,406,141,108,278,670,822,1133,1491,730,5694,1464,952,3547,1700,2429,758,121,61,2469,5882,3416,1013,2189,12
118,Mott Haven-Port Morris,952,896,3952,3945,3908,3214,279,34755,2448,1269,1288,1043,622,659,734,694,521,739,630,777,272,239,235,749,1166,1385,1945,2050,869,7127,1527,1308,3717,1668,2231,468,119,34,3346,6988,4268,1213,2482,0
119,Mount Hope,787,760,3266,3014,4189,3352,288,35909,1345,1362,1069,832,631,828,814,785,408,779,1275,933,358,201,213,642,968,1189,1494,1849,1050,8143,1575,970,4126,1808,3052,1212,436,98,3742,8655,5474,1531,2781,34
436,Murray Hill,533,491,1817,1826,1787,3409,827,40057,681,423,697,721,527,731,588,410,495,884,1074,1695,880,753,760,176,547,2452,359,431,1070,10910,517,1415,4037,4634,5769,2639,752,248,7490,6106,6032,1693,2105,12
319,Murray Hill-Kips Bay,468,273,898,1008,713,2552,2288,38893,186,419,111,64,103,200,5,96,241,339,199,467,500,601,1189,205,350,453,249,147,338,2800,350,640,2668,1149,16215,7873,3692,1028,21713,1772,5850,344,194,0
508,New Brighton-Silver Lake,258,257,664,1019,846,1055,298,12498,290,81,46,99,142,136,147,92,181,235,383,317,447,447,636,77,143,143,183,147,169,2738,454,571,1456,850,2193,1770,392,225,3095,1584,1470,870,637,0
509,New Dorp-Midland Beach,291,408,978,937,1068,1134,378,15327,214,123,86,126,85,173,126,157,54,290,579,990,606,571,852,39,105,99,223,390,319,4635,602,682,2060,1000,2948,1258,302,111,3894,1773,2050,976,803,0
510,New Springville-Bloomfield-Travis,566,390,2233,2369,2311,2334,767,29676,435,177,230,269,152,294,284,418,355,694,1109,1186,1408,1126,1407,45,410,277,381,361,876,8272,1072,1316,3594,2208,5614,2944,580,174,7772,3242,4265,1614,1502,2
437,North Corona,1230,1018,3552,2829,2487,2300,344,38262,456,498,507,776,845,538,525,697,413,921,927,1089,641,412,245,575,1219,750,698,715,1293,10515,891,826,2347,1387,1939,614,107,46,2572,10228,4313,5221,3953,0
120,North Riverdale-Fieldston-Riverdale,758,211,945,971,823,2791,525,19439,161,37,113,89,157,93,213,84,155,324,492,797,785,564,698,14,192,98,195,86,329,2811,270,717,2139,924,4620,3974,1473,1083,7210,1566,2316,414,481,0
235,North Side-South Side,1194,534,2021,1743,1673,2045,1107,43378,462,531,313,597,443,486,646,431,399,640,904,867,756,888,902,265,851,503,647,745,780,5091,961,996,3992,1204,16145,6322,1609,500,20337,4178,6611,550,1249,0
121,Norwood,962,517,2522,2437,2337,2559,636,28406,1012,741,1257,518,863,778,547,313,330,749,817,538,413,292,251,269,1081,829,767,788,980,6847,1342,1132,3065,1457,3844,897,547,160,4287,6190,3809,1395,1591,0
438,Oakland Gardens,417,190,1295,1230,1360,1312,506,21656,210,212,133,237,222,263,270,295,251,396,955,838,1073,517,902,93,199,247,162,62,473,4489,375,698,2333,2031,5214,3020,772,279,5976,2134,3543,951,1189,0
511,Oakwood-Oakwood Beach,199,362,756,1015,923,1210,257,15455,200,108,130,18,236,169,136,203,107,321,390,802,654,729,725,42,168,145,121,183,298,4624,669,959,1712,1241,2618,1591,250,102,3790,1951,2341,819,555,0
236,Ocean Hill,705,405,1960,1942,2187,1934,262,23697,1114,494,354,463,428,498,437,408,329,604,657,823,472,282,207,250,415,573,920,878,559,5997,1322,544,2655,1774,3121,978,132,69,3594,4686,3041,966,1543,0
237,Ocean Parkway South,563,458,1284,1478,1474,1182,391,12981,207,220,182,222,295,168,185,132,206,321,429,460,446,244,379,65,205,169,161,112,352,2606,242,581,1157,826,2881,1655,405,205,3560,1405,2298,434,377,0
439,Old Astoria,453,86,935,1043,1189,1310,749,21082,236,204,414,457,364,320,231,188,366,462,372,401,591,309,296,118,506,358,255,509,699,3775,353,448,1973,1281,6130,2040,564,268,6144,3649,3124,636,993,0
512,Old Town-Dongan Hills-South Beach,347,272,977,1121,1039,1398,389,18570,266,158,193,265,297,252,224,165,71,340,644,735,857,598,583,64,371,234,395,397,415,5097,859,935,1834,1544,3189,1298,346,168,3896,2220,2367,1111,778,0
440,Ozone Park,396,281,1199,1324,1410,1928,324,16924,171,116,286,331,236,198,187,190,264,346,473,898,572,496,546,56,191,256,444,508,676,4085,742,764,2189,1318,2449,967,136,156,3255,2607,2762,1061,1401,4
238,Park Slope-Gowanus,1974,1100,3202,2591,2461,1907,2388,56029,268,235,203,261,273,175,267,297,295,460,694,1512,1711,1225,2783,57,298,384,210,469,654,3377,593,768,3078,1729,20628,14790,5052,2415,33904,3258,5811,736,1336,35
122,Parkchester,209,368,1573,1123,1098,1891,600,22919,265,342,313,240,338,427,321,261,268,784,1212,843,1005,392,290,174,478,338,523,788,788,5202,929,1077,3544,1505,3387,2169,143,32,4519,4307,4212,878,1598,39
123,Pelham Bay-Country Club-City Island,323,219,1224,1149,977,1418,573,20618,239,343,120,204,216,305,83,242,140,295,676,1022,900,584,840,85,307,126,440,395,540,5129,974,912,2600,1618,3307,1957,139,392,5131,2514,3199,1085,861,0
124,Pelham Parkway,303,490,1212,1398,1317,2144,614,20913,433,337,344,287,237,372,237,189,375,540,659,967,690,518,378,172,683,360,322,432,542,4748,912,815,2533,1479,3539,1698,659,547,5158,3411,3101,1026,1273,9
441,Pomonok-Flushing Heights-Hillcrest,741,435,1755,1459,1477,4501,766,24784,684,373,290,364,297,580,331,379,232,730,653,924,770,647,644,136,327,457,74,278,860,5786,1102,830,2645,2588,4867,1930,471,301,5527,3741,4452,1101,1097,0
513,Port Richmond,118,181,1001,887,1158,1376,296,13832,429,77,146,100,226,138,103,104,212,200,486,613,578,383,531,156,92,319,186,274,511,3805,970,915,1666,812,1948,802,146,163,2588,1739,2222,1000,795,0
239,Prospect Heights,458,191,647,558,502,677,601,16525,228,103,39,94,70,98,122,114,108,129,318,353,413,413,762,17,235,82,93,224,448,1477,256,168,1292,557,5421,4276,1210,591,8705,1701,1874,290,224,30
240,Prospect Lefferts Gardens-Wingate,1117,989,2980,3689,2921,3977,1094,49826,887,669,810,789,511,1165,704,653,574,933,2109,1863,1099,702,763,323,840,564,843,1054,1478,12623,2168,1329,7631,3515,8365,4200,857,477,11841,8983,6941,1699,2261,0
442,Queens Village,576,586,2186,2409,2804,4313,960,39884,385,277,312,497,427,436,372,521,522,943,1157,2063,1706,1107,1312,150,749,812,877,576,1070,9231,3019,1807,5907,4678,5889,2424,319,163,7993,6538,7081,2231,2960,0
443,Queensboro Hill,188,237,813,825,1133,1521,293,15700,362,106,292,299,211,173,269,257,110,598,514,550,424,239,277,94,515,1269,154,207,514,4554,349,335,1010,974,2124,882,280,186,2580,2855,2131,684,1079,0
444,Queensbridge-Ravenswood-Long Island City,307,164,1154,840,961,1330,305,14046,382,501,468,360,307,294,254,279,205,223,399,321,160,107,121,112,266,196,281,282,618,3691,814,570,1407,810,2385,737,149,113,2320,2344,2083,514,1150,0
445,Rego Park,295,241,1114,716,841,1190,616,22335,236,118,398,283,252,194,313,295,141,348,639,883,866,658,644,54,183,70,265,185,541,4473,343,1003,1843,1462,6493,3042,740,588,6484,2589,3101,502,1062,0
446,Richmond Hill,665,894,3340,3048,3873,4956,711,47265,670,349,559,685,641,540,618,825,582,1178,1808,2086,1351,817,1006,450,1180,811,1575,708,1751,11126,2595,1603,4674,2914,7108,2503,366,125,7056,8301,7252,4037,4663,0
447,Ridgewood,904,1236,3954,3512,3761,4118,833,53936,946,453,780,663,682,824,776,852,781,1363,1770,2315,1594,1261,851,494,1013,1005,897,912,894,13962,1760,4450,4196,3337,8697,3786,281,229,9716,10544,8384,4524,4623,0
125,Rikers Island,0,0,0,0,0,0,0,7411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,268,505,744,987,504,817,668,187,428,52,75,44,0,0,0,0,0,0,0,0
448,Rosedale,365,252,1268,1191,1602,2118,436,18995,73,84,55,228,121,193,141,227,124,333,564,1177,990,544,804,109,62,329,155,219,809,4195,1238,1069,3313,1711,3115,1476,221,119,4365,3603,3725,1149,1234,9
514,Rossville-Woodrow,239,232,1120,1111,1057,998,192,16405,100,162,139,338,143,69,113,161,38,315,347,903,988,537,965,20,39,77,96,228,227,4467,479,1350,1729,1379,3034,1605,419,146,4442,1661,2872,988,640,0
241,Rugby-Remsen Village,727,800,2136,2317,3165,4030,608,39777,762,574,500,626,715,617,587,562,745,977,1530,1742,1191,839,694,304,584,281,673,708,1231,10874,2386,1524,5629,3186,6004,2461,235,207,7498,8660,5534,2103,1792,0
126,Schuylerville-Throgs Neck-Edgewater Park,642,684,1971,2022,2168,4269,589,32610,586,330,304,396,264,293,324,171,334,694,1214,1453,1591,999,1029,112,381,642,747,683,993,7939,1624,1549,4160,2972,5039,2625,389,311,7370,4677,5214,1618,2005,0
242,Seagate-Coney Island,735,668,1729,1414,1888,1628,274,21695,708,927,445,629,461,592,318,275,261,384,654,558,516,201,226,260,679,507,587,931,771,4665,894,690,1962,1559,3329,1337,346,76,2515,2717,2278,821,1421,0
243,Sheepshead Bay-Gerritsen Beach-Manhattan Be,775,500,2995,3056,2543,4080,961,50871,763,820,546,820,755,1011,621,521,400,964,1701,2134,1907,1387,1502,228,587,581,926,606,1372,10011,2224,1662,4129,3959,12570,6020,1102,581,12769,5866,6565,2029,2835,17
320,SoHo-TriBeCa-Civic Center-Little Italy,1009,374,1655,1020,943,2709,1259,33168,182,266,335,227,181,48,114,91,122,390,344,683,466,418,696,143,300,217,325,137,439,2104,237,409,1643,783,14017,7459,2554,843,17559,1716,5689,282,509,0
127,Soundview-Bruckner,725,669,2263,2060,2416,1607,300,25301,922,624,730,554,631,619,608,362,298,467,660,575,470,260,259,401,603,897,1117,918,721,4982,1066,816,3154,1581,2147,577,188,16,2327,4938,3621,1701,1481,0
128,Soundview-Castle Hill-Clason Point-Harding,1187,666,2973,3400,3740,3677,564,39346,1423,1054,823,961,597,954,575,683,399,1249,1218,1130,1039,401,605,419,895,1312,1286,1657,1068,8849,1975,2030,5214,3261,4148,1524,163,85,5601,5641,5057,1289,2683,0
449,South Jamaica,638,545,2295,2611,2783,2821,410,29542,454,244,320,482,461,333,488,382,565,837,1023,1284,730,738,477,268,605,457,671,775,1227,5889,4059,1053,3912,2096,3279,1098,141,31,3763,5874,4764,1459,2314,0
450,South Ozone Park,907,1035,3300,4399,4811,6409,1320,60178,643,431,787,611,730,856,743,819,772,1490,1901,2836,2202,1246,1569,482,1365,1161,1298,999,3710,14452,4641,1936,6800,3828,8284,2163,384,139,9697,9773,11444,4489,4690,0
451,Springfield Gardens North,773,319,835,1425,1351,1581,332,19757,109,221,54,241,155,131,217,323,245,689,738,1034,772,634,415,92,221,152,358,610,352,4567,1413,1256,3152,1921,3407,1129,81,68,4082,3354,3068,660,1342,0
452,Springfield Gardens South-Brookville,472,339,1186,1479,1363,1831,335,14735,113,139,18,123,114,142,206,126,102,317,606,992,602,452,640,70,256,244,375,392,376,3475,723,549,2867,941,2428,1060,72,72,2853,2684,2674,753,943,0
129,Spuyten Duyvil-Kingsbridge,592,310,1346,996,1074,1647,954,23307,252,205,198,274,146,185,215,263,329,541,632,788,956,749,834,58,236,218,490,446,357,3414,735,828,2963,1102,5955,3844,1166,864,8391,2941,3003,564,489,0
453,St. Albans,1132,538,2751,2888,2984,3845,788,38205,332,242,282,333,374,348,413,404,346,914,1390,1917,1643,1227,1122,138,406,430,553,720,947,9691,1670,1506,7262,3480,5608,2754,318,137,7498,7845,6530,1838,2455,55
515,Stapleton-Rosebank,317,290,1426,1623,1233,1341,349,19122,486,206,408,310,178,219,130,218,301,403,516,892,519,542,541,98,383,358,410,460,578,4678,965,813,2046,1199,2999,1592,298,87,3931,2987,2454,974,932,26
244,Starrett City,220,88,597,494,585,752,51,9624,210,559,266,264,127,159,101,262,158,304,386,210,164,41,0,92,123,199,331,479,342,2120,950,452,1136,712,1113,484,60,60,1418,1238,1083,154,441,0
454,Steinway,696,421,1482,1358,1347,2947,1418,37391,275,185,166,434,311,537,452,410,405,674,957,1389,1314,984,949,187,641,422,320,315,853,7230,792,1022,3282,2730,11458,5057,1005,396,13361,4139,6240,1406,2101,0
245,Stuyvesant Heights,1558,886,3012,2902,3898,3996,804,48749,1351,903,870,747,768,885,628,506,344,891,1335,1679,1039,778,815,442,594,825,1458,1867,1026,11007,2204,1524,6133,3235,8712,3934,676,338,11667,7633,7020,1409,2488,40
